run_name,iteration,total_timesteps,time_elapsed,fps,completion_rate,ep_len_mean,ep_rew_mean,approx_kl,clip_fraction,entropy_loss,explained_variance,learning_rate,loss,policy_gradient_loss,value_loss
ppo_submoves,1,,,,0.0,,,,,,,,,,
ppo_submoves,2,,,,0.0,,,0.0030247539,0.05634765625,-3.5315275490283966,-0.3110787868499756,0.0001,-0.03393571823835373,-0.019476142741041258,0.08439773479476571
ppo_submoves,3,,,,0.0,,,0.0037522046,0.16884765625,-3.6307644978165627,0.2402169108390808,0.0001,-0.036143168807029724,-0.024272654874948785,0.07881675669923424
ppo_submoves,4,,,,0.0,,,0.004016644,0.19765625,-3.516480767726898,0.5478758811950684,0.0001,-0.047009147703647614,-0.02528969321283512,0.06265310636954383
ppo_submoves,5,,,,0.0,,,0.003876036,0.1974609375,-3.5556516289710998,0.7117742300033569,0.0001,-0.006126272492110729,-0.023171204171376303,0.04748319734353572
ppo_submoves,6,,,,0.0,,,0.0042611044,0.2072265625,-3.548393665254116,0.852196216583252,0.0001,-0.041289761662483215,-0.025436441216152163,0.040617003873921934
ppo_submoves,7,,,,0.0,,,0.004213897,0.2078125,-3.546882154047489,0.730008602142334,0.0001,-0.025784164667129517,-0.02383340223459527,0.06634957792703063
ppo_submoves,8,,,,0.0,,,0.0041935253,0.2328125,-3.546673375368118,0.7257004976272583,0.0001,-0.04110405966639519,-0.02460025023901835,0.050463284086436036
ppo_submoves,9,,,,0.0,,,0.003766534,0.18095703125,-3.489068919420242,0.7717076539993286,0.0001,-0.028787557035684586,-0.02121459863265045,0.07737437991891057
ppo_submoves,10,,,,0.0,,,0.004203683,0.223046875,-3.4608562380075454,0.7589141130447388,0.0001,-0.019112247973680496,-0.02426470224163495,0.07780248287599534
ppo_submoves,11,,,,0.0,,,0.0041426513,0.20283203125,-3.404074190557003,0.7935794591903687,0.0001,-0.017889682203531265,-0.022871560434577987,0.0715601802105084
ppo_submoves,12,,,,0.0,,,0.0044269864,0.183984375,-3.397915256023407,0.7614445686340332,0.0001,-0.03456473723053932,-0.023330923076719044,0.06738749361829832
ppo_submoves,13,,,,0.0,,,0.0046791416,0.23173828125,-3.287511494755745,0.688413143157959,0.0001,-0.03442898765206337,-0.024386144932941535,0.0917777539929375
ppo_submoves,14,,,,0.0,,,0.004488266,0.23271484375,-3.3996032401919365,0.8264521956443787,0.0001,-0.04091919586062431,-0.024823742610169574,0.054574829677585514
ppo_submoves,15,,,,0.0,,,0.004535061,0.2359375,-3.3365997090935706,0.7660762071609497,0.0001,-0.03549148142337799,-0.0253685882256832,0.06930027053458616
ppo_submoves,16,,,,0.0,,,0.0044208886,0.2212890625,-3.3610380411148073,0.8465095162391663,0.0001,-0.02960178069770336,-0.02340648361714557,0.06343929442809895
ppo_submoves,17,,,,0.0,,,0.004430552,0.20732421875,-3.3258500516414644,0.609512448310852,0.0001,-0.023488715291023254,-0.021949003395275214,0.09288685801438987
ppo_submoves,18,,,,0.0,,,0.0043217815,0.2201171875,-3.3021975710988043,0.672032356262207,0.0001,-0.041081953793764114,-0.023482569184852763,0.0943948158994317
ppo_submoves,19,,,,0.0,,,0.004103387,0.2046875,-3.341837365925312,0.7086412906646729,0.0001,-0.028708141297101974,-0.021338842116529123,0.07704862540122122
ppo_submoves,20,,,,0.0,,,0.0041090725,0.197265625,-3.2454468116164206,0.604891300201416,0.0001,-0.013511456549167633,-0.0206615851377137,0.09901543734595179
ppo_submoves,21,,,,0.0,,,0.0040003066,0.20107421875,-3.203231652081013,0.8002549409866333,0.0001,-0.028396422043442726,-0.02076321704662405,0.10358675923198461
ppo_submoves,22,,,,0.0,,,0.0038591912,0.178125,-3.1931743159890176,0.7580484747886658,0.0001,-0.012666292488574982,-0.01963349657598883,0.07624184967717156
ppo_submoves,23,,,,0.0,,,0.0041032257,0.18193359375,-3.2446210980415344,0.8455478549003601,0.0001,-0.029535239562392235,-0.02150497754337266,0.0767338214442134
ppo_submoves,24,,,,0.0,,,0.0038381156,0.18330078125,-3.1606854245066645,0.8597079515457153,0.0001,-0.022922605276107788,-0.02098804633860709,0.07385881699156016
ppo_submoves,25,,,,0.0,,,0.0039970316,0.1818359375,-3.2037943795323374,0.9081507921218872,0.0001,-0.02552170306444168,-0.02016077048610896,0.07591316257603467
ppo_submoves,26,,,,0.0,,,0.0036579778,0.17080078125,-3.0929828956723213,0.9086833000183105,0.0001,-0.00438232347369194,-0.019840885995654388,0.06487681550206617
ppo_submoves,27,,,,0.0,,,0.0034398695,0.14326171875,-3.117932477593422,0.8916754722595215,0.0001,-0.023424100130796432,-0.01777909599477425,0.07609499375103042
ppo_submoves,28,,,,0.0,,,0.004558136,0.21826171875,-3.0167828008532522,0.9365691542625427,0.0001,-0.03510892391204834,-0.02231168866273947,0.06217452998971566
ppo_submoves,29,,,,0.0,,,0.0034799515,0.1359375,-3.0684455588459967,0.9212445616722107,0.0001,-0.013956032693386078,-0.01695361201418564,0.05733112163143232
ppo_submoves,30,,,,0.0,,,0.004065792,0.190234375,-2.99524162709713,0.9369229078292847,0.0001,-0.03961377963423729,-0.021114526531891897,0.06289266311796382
ppo_submoves,31,,,,0.0,,,0.004066428,0.1876953125,-2.956083816289902,0.9547491073608398,0.0001,-0.019603174179792404,-0.02043895421666093,0.06803159221308305
ppo_submoves,32,,,,0.0,,,0.003621698,0.166796875,-2.942697386443615,0.9409883618354797,0.0001,-0.022369902580976486,-0.019197742379037663,0.0569654508959502
ppo_submoves,33,,,,0.0,,,0.0035991755,0.1431640625,-2.884485033154488,0.9641951322555542,0.0001,-0.020179856568574905,-0.01903461801703088,0.07620417373254895
ppo_submoves,34,,,,0.0,,,0.0041989055,0.2208984375,-2.9024894714355467,0.9681568145751953,0.0001,-0.0360620841383934,-0.023652050737291576,0.049392023391555996
ppo_submoves,35,,,,0.0,,,0.0036824862,0.1658203125,-2.8998751148581503,0.9766703248023987,0.0001,-0.01705760508775711,-0.018947237537940965,0.047558594297152014
